Poll,Date,Sample,MoE,Clinton,Sanders,O'Malley,Spread
NBC News/MaristNBC/Marist,2/3 - 2/10,321 RV,5.5,68,7,0,Clinton +56
Des Moines RegisterDM Register,1/26 - 1/29,401 LV,4.9,56,5,1,Clinton +40
Loras CollegeLoras,1/21 - 1/26,261 LV,6.1,48,4,0,Clinton +31
FOX NewsFOX News,10/28 - 10/30,352 LV,5.0,62,--,2,Clinton +48
Des Moines RegisterDM Register,10/1 - 10/7,426 LV,4.8,53,3,0,Clinton +43
CNN/ORCCNN/ORC,9/8 - 9/10,309 RV,5.5,53,5,2,Clinton +38
USA Today/SuffolkUSA Today,8/23 - 8/26,191 LV,7.1,66,--,2,Clinton +56
PPP (D)PPP (D),5/15 - 5/19,356 RV,5.2,59,--,1,Clinton +47
Vox Populi/Daily Caller (R)Vox Populi/Daily Caller (R),4/22 - 4/24,RV,--,71,--,1,Clinton +58
Suffolk UniversitySuffolk,4/3 - 4/8,135 LV,8.4,63,--,--,Clinton +51
PPP (D)PPP (D),2/20 - 2/23,335 RV,5.4,67,--,0,Clinton +55
Harper (R)Harper (R),11/23 - 11/24,308 LV,5.6,71,--,1,Clinton +60
PPP (D)PPP (D),7/5 - 7/7,260 RV,6.1,71,--,1,Clinton +59
PPP (D)PPP (D),2/1 - 2/3,313 RV,5.5,68,--,0,Clinton +47
Harper (R)Harper (R),1/29 - 1/29,LV,--,65,--,--,Clinton +51
PPP (D)PPP (D),7/12 - 7/15,416 RV,4.8,60,--,0,Clinton +42
PPP (D)PPP (D),5/3 - 5/6,335 RV,5.4,62,--,1,Clinton +48
