Poll,Date,Sample,MoE,Clinton,Sanders,Spread
Final Results,--,--,--,50.5,48.7,Clinton +1.8
RCP Average,3/4 - 3/12,--,--,48.3,46.0,Clinton +2.3
PPP (D)*PPP (D)*,3/11 - 3/12,627 LV,3.9,48,45,Clinton +3
CBS News/YouGovCBS News/YouGov,3/9 - 3/11,756 LV,5.5,46,48,Sanders +2
NBC/WSJ/MaristNBC/WSJ/Marist,3/4 - 3/10,529 LV,4.3,51,45,Clinton +6
WeAskAmericaWeAskAmerica,3/7 - 3/7,994 LV,3.1,62,25,Clinton +37
Chicago TribuneChicago Tribune,3/2 - 3/6,LV,--,67,25,Clinton +42
The Simon Poll/SIUThe Simon Poll/SIU,2/15 - 2/20,306 LV,5.6,51,32,Clinton +19
PPP (D)PPP (D),7/20 - 7/21,409 RV,4.9,60,23,Clinton +37
