Poll,Date,Sample,MoE,Clinton,Sanders,Spread
Final Results,--,--,--,66.3,29.7,Clinton +36.6
RCP Average,2/4 - 2/16,--,--,57.0,28.5,Clinton +28.5
PPP (D)*PPP (D)*,2/14 - 2/16,525 LV,4.3,57,32,Clinton +25
Talk Business/Hendrix CollegeTalk Business/Hendrix College,2/4 - 2/4,451 LV,3.3,57,25,Clinton +32
