Poll,Date,Sample,MoE,Clinton,Sanders,Spread
Final Results,--,--,--,71.1,23.2,Clinton +47.9
RCP Average,2/14 - 3/1,--,--,60.5,21.5,Clinton +39.0
Magellan Strategies (R)Magellan,3/1 - 3/1,865 LV,3.3,61,14,Clinton +47
PPP (D)*PPP (D)*,2/14 - 2/16,548 LV,4.2,60,29,Clinton +31
WWL-TV/ClarusWWL-TV,9/20 - 9/23,LV,--,57,7,Clinton +35
