Poll,Date,Sample,MoE,Sanders,Clinton,Spread
Final Results,--,--,--,49.4,49.6,Clinton +0.2
PPP (D)*PPP (D)*,3/11 - 3/12,839 LV,3.4,47,46,Sanders +1
Fort Hays St. UniversityFort Hays St.,3/3 - 3/10,145 LV,8.0,40,47,Clinton +7
