Poll,Date,Sample,MoE,Clinton,Sanders,Spread
Final Results,--,--,--,41.5,51.9,Sanders +10.4
RCP Average,2/14 - 2/28,--,--,43.0,41.0,Clinton +2.0
MonmouthMonmouth,2/25 - 2/28,300 LV,5.7,43,48,Sanders +5
Sooner Poll/News 9/News on 6Sooner Poll,2/23 - 2/25,510 LV,4.3,40,31,Clinton +9
PPP (D)*PPP (D)*,2/14 - 2/16,542 LV,4.2,46,44,Clinton +2
Sooner PollSooner Poll,2/6 - 2/9,382 LV,5.0,44,28,Clinton +16
Sooner Poll/News 9/News on 6Sooner Poll,1/17 - 1/19,485 LV,--,41,16,Clinton +25
Sooner Poll/News 9/News on 6Sooner Poll,11/12 - 11/15,389 LV,5.1,47,12,Clinton +35
The OklahomanOklahoman,10/19 - 10/22,350 RV,5.4,30,21,Clinton +9
