Poll,Date,Sample,MoE,Clinton,Sanders,Spread
Final Results,--,--,--,66.1,32.4,Clinton +33.7
RCP Average,2/14 - 2/23,--,--,59.0,33.0,Clinton +26.0
NBC News/Wall St. JrnlNBC/WSJ,2/18 - 2/23,405 LV,4.9,60,34,Clinton +26
PPP (D)*PPP (D)*,2/14 - 2/16,500 LV,4.4,58,32,Clinton +26
Vanderbilt UniversityVanderbilt University,11/11 - 11/23,346 RV,6.7,48,28,Clinton +20
