Poll,Date,Sample,MoE,Clinton,Sanders,Spread
Final Results,--,--,--,40.4,58.9,Sanders +18.5
QuinnipiacQuinnipiac,11/11 - 11/15,404 RV,4.9,55,27,Clinton +28
