Poll,Date,Sample,Clinton,Sanders,O'Malley,Spread
Final Results,--,--,18.4,81.6,,Sanders +63.2
Alaska Dispatch/Ivan Moore Alaska Dispatch News,1/5 - 1/12,310 RV,44,41,1,Clinton +3
