Poll,Date,Sample,MoE,Sanders,Clinton,Spread
Final Results,--,--,--,79.3,20.3,Sanders +59.0
Deseret News/KSLDeseret News,3/8 - 3/15,194 LV,7.0,52,44,Sanders +8
Utah PolicyUtah Policy,2/10 - 2/15,625 A,3.9,44,51,Clinton +7
Salt Lake Tribune/SurveyUSASalt Lake Tribune,1/6 - 1/13,188 RV,7.2,40,50,Clinton +10
