Poll,Date,Sample,MoE,Clinton,Sanders,Spread
Final Results,--,--,--,46.8,46.3,Clinton +0.5
PPP (D)*PPP (D)*,3/1 - 3/2,501 LV,4.4,43,38,Clinton +5
PPP (D)PPP (D),6/18 - 6/21,610 RV,4.0,56,12,Clinton +44
