Poll,Date,Sample,MoE,Clinton,Sanders,Spread
Final Results,--,--,--,57.6,39.9,Clinton +17.7
RCP Average,2/24 - 3/11,--,--,53.0,23.0,Clinton +30.0
Merrill PollMerrill,3/7 - 3/11,300 LV,5.4,50,24,Clinton +26
MBQF (R)MBQF (R),2/24 - 2/24,739 LV,3.6,56,22,Clinton +34
Behavior Research CenterBRC,10/24 - 11/5,186 RV,7.3,47,19,Clinton +28
Gravis MarketingGravis,8/13 - 8/16,427 RV,4.7,56,34,Clinton +22
PPP (D)PPP (D),5/1 - 5/3,268 RV,6.0,58,16,Clinton +42
