Poll,Date,Sample,MoE,Sanders,Clinton,Spread
Gravis MarketingGravis,2/2 - 2/3,384 RV,--,13,44,Clinton +19
WMUR/UNHWMUR/UNH,1/22 - 2/3,297 LV,5.7,6,58,Clinton +44
Bloomberg/Saint AnselmBloomberg/Saint Anselm,11/12 - 11/18,404 LV,4.9,6,62,Clinton +49
New England CollegeNE College,10/31 - 11/1,583 LV,4.1,7,53,Clinton +36
UMass Amherst/WBZUMass Amherst/WBZ,10/10 - 10/15,204 RV,--,11,49,Clinton +33
WMUR/UNHWMUR/UNH,9/29 - 10/5,234 LV,6.4,3,58,Clinton +40
CNN/ORCCNN/ORC,9/8 - 9/11,334 RV,5.5,7,60,Clinton +49
WMUR/UNHWMUR/UNH,6/19 - 7/1,257 LV,6.1,5,59,Clinton +45
WMUR/UNHWMUR/UNH,4/1 - 4/9,184 LV,7.2,--,65,Clinton +59
WMUR/UNHWMUR/UNH,1/21 - 1/26,205 LV,6.8,--,74,Clinton +64
Purple StrategiesPurple Strt.,1/21 - 1/23,334 LV,5.4,--,68,Clinton +55
PPP (D)PPP (D),1/9 - 1/12,502 RV,4.4,--,65,Clinton +55
WMUR/UNHWMUR/UNH,10/7 - 10/16,252 LV,6.2,--,64,Clinton +58
PPP (D)PPP (D),9/13 - 9/16,455 RV,4.6,--,57,Clinton +45
WMUR/UNHWMUR/UNH,7/18 - 7/29,190 LV,7.1,--,62,Clinton +54
NH Journal/NE CollegeNH Journal,7/13 - 7/16,333 RV,5.4,--,65,Clinton +57
New England CollegeNE College,5/2 - 5/5,314 RV,5.5,--,65,Clinton +55
PPP (D)PPP (D),4/19 - 4/21,368 RV,5.1,--,68,Clinton +56
WMUR/UNHWMUR/UNH,4/4 - 4/9,188 LV,7.1,--,61,Clinton +54
WMUR/UNHWMUR/UNH,1/30 - 2/5,201 LV,7.0,--,63,Clinton +53
PPP (D)PPP (D),8/9 - 8/12,400 RV,4.9,--,55,Clinton +46
